,Unnamed: 0,Star_name,Distance,Mass,Radius,Gravity
69,69,RW Cephei,"14,000",13.9,1158.0,1145183883.0834265
70,70,Lacaille 8760,12.87,0.6,0.51,112240620957.30916
71,71,V838 Monocerotis,"19,896",0.5,450.0,106005030.90412533
72,72,HD 140283,190,2.0,1.4,136292182591.0183
73,73,II Pegasi,130,0.8,3.4,22448124191.461834
74,74,VY Canis Majoris,"3,900",17.0,1420.0,1142166882.2768433
75,75,Pistol Star,"25,000",100.0,320.0,29813914941.78525
76,76,S Doradus,"1,69,000",24.0,380.0,6025549125.076597
77,77,UY Scuti,"5,100",7.0,755.0,884545290.9880656
78,78,Barnard's Star,5.98,0.14,0.2,66783169469.59897
79,79,Luhman 16,6.52,0.04,0.02,190809055627.42563
80,80,Proxima Centauri,4.25,0.12,0.15,76323622250.97023
81,81,KIC 8462852,"1,470",1.43,1.58,86347135932.66411
82,82,R136a1,"1,63,000",290.0,32.0,864603533311.7722
83,83,Melnick 42,"1,63,000",189.0,21.1,854571362881.1239
84,84,WR 102,"18,134",19.0,0.39,4647912893488.572
85,85,VFTS 352,"1,64,000",57.48,14.47,378980805717.49896
86,86,YBP 1194,"2,772",1.01,0.99,97331892011.96962
87,87,Gliese 1214,47.5,0.16,0.21,72689164048.54309
88,88,NML Cygni,"5,251",50.0,1900.0,2510645468.7819157
89,89,VB 10,18.72,0.075,0.1,71553395860.28459
90,90,WOH G64,"1,63,000",20.0,1600.0,1192556597.6714098
91,91,TRAPPIST-1,39.6,0.089,0.12,70758358128.50365
92,92,2MASS J0523-1403,40.3,0.07,0.086,77654848220.46393
93,93,WISE 0855−0714,7.27,0.003,0.086,3328064923.734168
94,94,Icarus,"14,40,00,00,000",33.0,0.2,15741747089262.611
95,95,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173537,42968898968.3583
96,96,2MASS J00040288-6410358,192,0.018137172,0.16750369,10330329621.610682
97,97,2MASS J00242463-0158201,37.7,0.075412452,0.11201167,64231605281.255806
98,98,2MASS J00274197+0503417,236,0.029592228,0.14797872,19078638734.648674
99,99,2MASSW J0030300-145033,87.2,0.051547752,0.10070774,48833276761.233734
100,100,2MASS J00332386-1521309 [de],131,0.027683052,0.14695109,17972568318.49602
101,101,2MASS J00345157+0523050,31,0.040092696,0.09659722,39597668863.12807
102,102,2MASS 0036+1821,28.6,0.040092696,0.09659722,39597668863.12807
103,103,2MASSW J0045214+163445,57,0.021955524,0.16647606,12582328054.391956
104,104,WISEP J004701.06+680352.1 [fr],40,0.011455056,0.1335919,8180617303.591291
105,105,2MASS J00501994-3322402 [de],34,0.03818352,0.09659722,37712065583.93149
106,106,2MASS J00584253-0651239 [de],96,0.027683052,0.14695109,17972568318.49602
107,107,2MASSI J0103320+193536,70,0.049638576,0.10070774,47024636881.188034
108,108,SDSSp J010752.33+004156.1 [de],51,0.049638576,0.10070774,47024636881.188034
109,109,2MASSI J0117474-340325 [de],163,0.01909176,0.16647606,10941154829.90605
110,110,2MASS J01415823-4633574 [de],130,0.01909176,0.16544843,11009112313.321615
111,111,SDSS J015141.69+124429.6,70,0.044865636,0.09968011,42941212822.115814
112,112,SDSS J020742.48+000056.2 [de],111,0.044865636,0.09968011,42941212822.115814
113,113,2MASS J02103857-3015313,101,0.01431882,0.15722739,8688564129.631275
114,114,2MASS J02340093-6442068,155,0.01909176,0.16647606,10941154829.90605
115,115,2MASS J02411151-0326587 [de],152,0.025773876,0.14489583,16970429512.76917
116,116,2MASS J02431371−2453298,35,0.031501404,0.10173537,29541118040.746326
117,117,LP 771-21,53,0.074457864,0.11098404,64005755754.950386
118,118,Teegarden's star,12.578,0.07636704,0.13050901,55825734880.15055
119,119,2MASS J02535980+3206373,184,0.06204822,0.1952497,30318515883.923874
120,120,WISE J0254+0223,24,0.06204822,0.1952497,30318515883.923874
121,121,DEN 0255-4700,16.2,0.07636704,0.09968011,73091426080.19711
122,122,2MASS J03185403-3421292 [de],45,0.046774812,0.09968011,44768498474.12074
123,123,2MASS J03205965+1854233,47,0.084003744,0.11817745,67816131850.06115
124,124,2MASS J03231002-4631237,192,0.021955524,0.17058658,12279139426.575285
125,125,SDSS J032553.17+042540.1,59,0.04295646,0.09762485,41979483531.5869
126,126,2MASS J03264225-2102057 [de],80,0.017182584,0.1335919,12270925955.386938
127,127,2MASS J03284265+2302051 [de],98,0.051547752,0.10070774,48833276761.233734
128,128,2MASS J03341218-4953322,27,0.069684924,0.10687352,62206777412.72546
129,129,LP 944-20,20.9,0.069684924,0.14695109,45241292663.80032
130,130,2MASP J0345432+254023,88,0.070639512,0.10790115,62458363857.57796
131,131,Teide 1,380,0.05250234,0.38844414,12894932478.10356
132,132,2MASS J03510004-0052452,48,0.097367976,0.13050901,71177811972.19196
133,133,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,13427780927.611969
134,134,2MASS J04151954−0935066,18.6,0.02863764,0.09762485,27986322354.391266
135,135,2MASS J04285096-2253227 [de],85,0.07636704,0.11201167,65044663575.95524
136,136,2MASS J04351612-1606574,34,0.0954588,0.12948138,70335995335.11032
137,137,2MASS J04362788-4114465,142,0.037228932,0.20244311,17544724927.7529
138,138,2MASS J04390101-2353083 [de],29.5,0.045820224,0.09968011,43854855648.11827
139,139,2MASS J04433764+0002040,82,0.021000936,0.18291814,10953448262.299202
140,140,2MASS J04455387-3048204 [de],42,0.061093632,0.102763,56718946638.23297
141,141,2MASS J04510093-3402150 [de],69,0.000992772,7.398936,12801157.340281805
142,142,2MASS J05002100+0330501 [de],44,0.061093632,0.102763,56718946638.23297
143,143,2MASS J05012406-0010452 [de],64,0.020046348,0.14181294,13486162583.81898
144,144,2MASS J05160945-0445499 [de],73,0.044865636,0.09968011,42941212822.115814
145,145,2MASS J0523−1403,40,0.064911984,0.10379063,59667208715.962906
146,146,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,53524996054.025536
147,147,LSR 0602+3910 [de],34.6,0.026728464,0.14489583,17598963939.168026
148,148,2MASS J06085283-2753583,102,0.036274344,0.15517213,22302565938.046906
149,149,2MASS J06244595-4521548 [de],39,0.053456928,0.10173537,50130382129.75135
